,acteur_1,acteur_2,acteur_3,allocine_id,annee_prod,annee_sortie,box_office_fr,couleur,duree,langues,nationalite,nb_critiques_presse,nb_critiques_spectateurs,nb_notes_spectateurs,note_presse,note_spectateurs,realisateurs,synopsis,titre,type_film,genre
4772,Albert Finney,Lauren Bacall,Jacqueline Bisset,1453,1974,1975.0,549055.0,Couleur,128.0,Anglais,Britannique,,125.0,2045.0,,3.7,Sidney Lumet,"En visite à Istanbul , le célèbre détective belge Hercule Poirot embarque dans l’ Orient - Express , luxueux train reliant la capitale turque à Calais . Il fait connaissance avec les autres passagers : la volubile Américaine Mme Hubbard , la princesse russe Dragomiroff et sa servante Hildegarde , ou le séduisant comte hongrois Andrenyi et sa femme . Un matin , alors que le train est immobilisé sous la neige , les passagers découvrent avec effroi que M. Ratchett , antipathique homme d’ affaires américain , a été froidement assassiné dans sa cabine durant la nuit . Pour Hercule Poirot , cela ne fait aucun doute : le meurtrier se trouve parmi les treize personnes à bord …",Le Crime de l' Orient - Express,,policier
335,Henry Fonda,Martin Balsam,John Fiedler,4063,1957,1957.0,,,95.0,Anglais,Américain,7.0,771.0,18670.0,5.0,4.6,Sidney Lumet,"Un jeune homme d' origine modeste est accusé du meurtre de son père et risque la peine de mort . Le jury composé de douze hommes se retire pour délibérer et procède immédiatement à un vote : onze votent coupable , or la décision doit être prise à l' unanimité . Le juré qui a voté non-coupable , sommé de se justifier , explique qu' il a un doute et que la vie d' un homme mérite quelques heures de discussion . Il s' emploie alors à les convaincre un par un .",12 hommes en colère,,drame
4860,Alexandra Lamy,Michaël Abiteboul,Julia Piaton,241952,2016,2019.0,,Couleur,90.0,Français,Français,,22.0,242.0,,4.2,Nicolas Cuche,"Lorsque Marie-Laure , mère de quatre jeunes enfants , apprend brutalement que le cancer qui la ronge ne lui laisse que quelques mois à vivre , elle ne songe plus qu’ au bonheur de ses enfants et à leur avenir . Bien décidée à ce qu’ ils grandissent ensemble dans une même famille , elle se heurte à la rigidité des services sociaux qui lui opposent une fin de nonrecevoir . Révoltée , Marie-Laure ne s’ avoue pas vaincue . Grâce à l’ aide de ses proches et des médias , elle mène un combat acharné pour le droit à décider du sort de ses enfants après sa mort .",Après moi le bonheur,Télefilm,drame
1913,Charles Chaplin,Virginia Cherrill,Harry Myers,2256,1931,1931.0,,,87.0,Muet,Américain,4.0,190.0,6185.0,4.5,4.4,Charles Chaplin,"Un vagabond s’ éprend d’ une belle et jeune vendeuse de fleurs aveugle qui vit avec sa mère , couverte de dettes . Suite à un quiproquo , la fleuriste s’ imagine le misérable , qui vient de lui acheter une fleur , en milliardaire ...",Les Lumières de la ville,,romance
3726,Robert De Niro,Cuba Gooding Jr.,Charlize Theron,27434,2000,2001.0,221677.0,Couleur,129.0,Anglais,Américain,17.0,104.0,1619.0,2.4,3.6,George Tillman Jr.,"L' histoire vraie de Carl Brashear , premier Afro - Américain à avoir intégré la Navy en tant que scaphandrier . Au lendemain de la Seconde Guerre mondiale , et bien que la marine américaine ait officiellement mis fin à la ségrégation raciale en son sein , sa couleur de peau le fait se heurter à des réticences qu' il combat sans relâche .",Les Chemins de la dignité,Long-métrage,biopic
3729,Gaëtan Vettier,Amanda Dawson,Manuel Blanc,229690,2013,2015.0,,Couleur,72.0,,Français,3.0,,10.0,3.3,3.3,Antony Hickling,"C’ est l’ histoire du périple de Jean - Christophe , de sa naissance à sa renaissance . Né d’ une mère prostituée – que nous suivons l’ espace d’ un instant – et d’ un père absent , J - C. , à l’ âge adolescent , expérimente sa sexualité et pousse les limites de son identité jusqu’ au jour où il rencontre , finalement , ce père fantasmé . Entre violence crue et rêveries fantasmagoriques , JC devra trouver sa voie et se libérer progressivement des démons du passé .",Little Gay Boy,Long-métrage,drame
1043,Harrison Ford,Asa Butterfield,Hailee Steinfeld,45645,2013,2013.0,416849.0,Couleur,114.0,Anglais,Américain,11.0,740.0,6726.0,2.5,3.4,Gavin Hood,"Dans un futur proche , une espèce extraterrestre hostile , les Doryphores , ont attaqué la Terre . Sans l’ héroïsme de Mazer Rackham , le commandant de la Flotte Internationale , le combat aurait été perdu . Depuis , le très respecté colonel Graff et les forces militaires terriennes entraînent les meilleurs jeunes esprits pour former des officiers émérites et découvrir dans leurs rangs celui qui pourra contrer la prochaine attaque . Ender Wiggin , un garçon timide mais doté d’ une exceptionnelle intelligence tactique , est sélectionné pour rejoindre l’ élite . A l’ académie , Ender apprend rapidement à maîtriser des manoeuvres militaires de plus en plus difficiles où son sens de la stratégie fait merveille . Graff ne tarde pas à le considérer comme le meilleur élément et le plus grand espoir de l’ humanité . Il ne lui manque plus qu’ à être formé par Mazer Rackham lui-même , pour pouvoir commander la Flotte lors d’ une bataille homérique qui décidera du sort de la Terre .",La Stratégie Ender,Long-métrage,science fiction
2003,John Boyega,Scott Eastwood,Cailee Spaeny,216485,2018,2018.0,627717.0,Couleur,111.0,Anglais,Américain,11.0,338.0,3907.0,2.5,2.4,Steven S. DeKnight,"Le conflit planétaire qui oppose les Kaiju , créatures extraterrestres , aux Jaegers , robots géants pilotés par des humains , n’ était que la première vague d’ une attaque massive contre l’ Humanité . Jake Pentecost , un jeune pilote de Jaeger prometteur dont le célèbre père a sacrifié sa vie pour sauver l’ Humanité des monstrueux Kaiju a depuis abandonné son entraînement et s’ est retrouvé pris dans l’ engrenage du milieu criminel . Mais lorsqu’ une menace , encore plus irrésistible que la précédente , se répand dans les villes et met le monde à feu et à sang , Jake obtient une dernière chance de perpétuer la légende de son père aux côtés de sa sœur , Mako Mori – qui guide une courageuse génération de pilotes ayant grandi dans l’ ombre de la guerre . Alors qu’ ils sont en quête de justice pour leurs camarades tombés au combat , leur unique espoir est de s’ allier dans un soulèvement général contre la menace des Kaiju . Jake est rejoint par son rival , le talentueux pilote Lambert et par Amara , une hackeuse de Jaeger âgée de 15 ans , les héros du Corps de Défense du Pan Pacific devenant la seule famille qui lui reste . S’ alliant pour devenir la plus grande force de défense que la Terre n’ ait jamais connue , ils vont paver un chemin vers une extraordinaire nouvelle aventure .",Pacific Rim Uprising,Long-métrage,science fiction
5129,Shahab Hosseini,Taraneh Alidoosti,Babak Karimi,245360,2016,2016.0,272285.0,Couleur,123.0,Farsi,"Iranien , français",34.0,119.0,1175.0,3.4,3.8,Asghar Farhadi,"Contraints de quitter leur appartement du centre de Téhéran en raison d' importants travaux menaçant l' immeuble , Emad et Rana emménagent dans un nouveau logement . Un incident en rapport avec l’ ancienne locataire va bouleverser la vie du jeune couple .",Le Client,,drame
2628,Henry Fonda,Bourvil,Richard Burton,33427,1962,1962.0,11933629.0,,182.0,,Américain,,194.0,10429.0,,4.1,"Ken Annakin, Andrew Marton, Bernhard Wicki plus",L' évènement militaire qui va mettre fin à la seconde guerre mondiale : le débarquement en Normandie par l' armée américaine .,Le Jour le plus long,,historique
3122,Sacha Baron Cohen,Gustaf Hammarsten,Clifford Banagale,123259,2009,2009.0,235867.0,Couleur,83.0,,Américain,18.0,538.0,3041.0,3.6,2.4,Larry Charles,"Les aventures du personnage de Bruno , un homosexuel autrichien , roi de la mode créé par Sacha Baron Cohen pour son émission de télévision Da Ali G Show .",Brüno,Long-métrage,comédie
941,Roman Bilyk,Irina Starshenbaum,Yoo Teo,263780,2018,2018.0,172295.0,,126.0,Russe,"Russe , français",30.0,135.0,1466.0,4.4,4.0,Kirill Serebrennikov,"Leningrad . Un été du début des années 80 . En amont de la Perestroïka , les disques de Lou Reed et de David Bowie s' échangent en contrebande , et une scène rock émerge . Mike et sa femme la belle Natacha rencontrent le jeune Viktor Tsoï . Entourés d’ une nouvelle génération de musiciens , ils vont changer le cours du rock’n’roll en Union Soviétique .",Leto,Long-métrage,biopic
32,Catherine Deneuve,Juliette Binoche,Ethan Hawke,264942,2019,2019.0,373603.0,Couleur,108.0,,"Français , japonais",33.0,159.0,2041.0,3.8,2.6,Hirokazu Kore-eda,"Fabienne , icône du cinéma , est la mère de Lumir , scénariste à New York . La publication des Mémoires de cette grande actrice incite Lumir et sa famille à revenir dans la maison de son enfance . Mais les retrouvailles vont vite tourner à la confrontation : vérités cachées , rancunes inavouées , amours impossibles se révèlent sous le regard médusé des hommes . Fabienne est en plein tournage d’ un film de science-fiction où elle incarne la fille âgée d’ une mère éternellement jeune . Réalité et fiction se confondent obligeant mère et fille à se retrouver ...",La Vérité,Long-métrage,drame
